time,open,high,low,close,volume
2026-01-09 01:40:31.053378,150.00312568337327,150.0253224659864,149.97152331497807,150.0049671415301,835
2026-01-09 01:41:31.053378,150.33155988888285,150.34616216838472,150.30292888715988,150.3428616761777,398
2026-01-09 01:42:31.053378,150.69103539475543,150.70574631427894,150.64166764062747,150.68830528758048,386
2026-01-09 01:43:31.053378,151.02113531520067,151.04743162051568,151.04087482312866,151.04188171557612,982
2026-01-09 01:44:31.053378,151.37603661495828,151.41736794328477,151.36926699750865,151.3769561827843,127
2026-01-09 01:45:31.053378,151.71095232547424,151.7581764739495,151.6664835079485,151.7107920726513,14
2026-01-09 01:46:31.053378,152.0691613332221,152.06483115315552,152.0382894012833,152.06121532939264,453
2026-01-09 01:47:31.053378,152.41140503495464,152.44942457282497,152.3734392805137,152.40166881246037,361
2026-01-09 01:48:31.053378,152.72256148294042,152.75372600909634,152.69444581894334,152.7275971791295,764
2026-01-09 01:49:31.053378,153.05968182212794,153.07616624617194,153.02723463204944,153.06118796227423,542
2026-01-09 01:50:31.053378,153.37430035746272,153.38580466953263,153.335374545603,153.38196156576882,673
2026-01-09 01:51:31.053378,153.6883772703012,153.72468910925278,153.64981042497868,153.69965789584927,649
2026-01-09 01:52:31.053378,154.0241822077442,154.06080903717492,153.98507538690384,154.0210832599504,133
2026-01-09 01:53:31.053378,154.30458203101398,154.3526722103633,154.3029568260397,154.31731788649995,667
2026-01-09 01:54:31.053378,154.60736472378554,154.61402229336446,154.56752337267656,154.61151099279127,286
2026-01-09 01:55:31.053378,154.90317056366598,154.91676739503336,154.91066125753792,154.91312230326497,831
2026-01-09 01:56:31.053378,155.21123811341084,155.22588494567958,155.19418723890422,155.20574128154794,403
2026-01-09 01:57:31.053378,155.52488408409954,155.52163430780928,155.4620004972337,155.50686978310688,673
2026-01-09 01:58:31.053378,155.77772876802166,155.8023638640025,155.77793507212772,155.7907446478497,369
2026-01-09 01:59:31.053378,156.04575091717044,156.07833132694486,156.05324854901835,156.06428110199943,632
2026-01-09 02:00:31.053378,156.35979313742487,156.40121614344324,156.35413574162138,156.36104200627838,478
2026-01-09 02:01:31.053378,156.63523659068488,156.68154101540688,156.59212402484295,156.6350796127253,994
2026-01-09 02:02:31.053378,156.90817957615383,156.92624811781263,156.8809900701267,156.90599298308626,637
2026-01-09 02:03:31.053378,157.1512208530354,157.20098960829438,157.12193939803504,157.15568405818775,709
2026-01-09 02:04:31.053378,157.4056368364525,157.42371801450312,157.395689910237,157.40764322944074,66
2026-01-09 02:05:31.053378,157.6630654286226,157.68321217383436,157.6214883034666,157.65939032451718,260
2026-01-09 02:06:31.053378,157.90193454972288,157.90283169068724,157.85352996354834,157.89153024079644,905
2026-01-09 02:07:31.053378,158.11218258362769,158.16375687343967,158.11610317008547,158.13173307133087,928
2026-01-09 02:08:31.053378,158.35107027070725,158.40370872085632,158.33422553344704,158.35475966509756,159
2026-01-09 02:09:31.053378,158.57539938146516,158.60343594832793,158.56277677965423,158.57326129352575,461
